"id","model","tags","fields"
,"Basic Quizlet Extended","hàng"", đặt","FrontText: ちゅうもんしませんでした || FrontAudio: [sound:naver-bd17f6d3-786718db-63599556-dd476a7f-eca56260.mp3] || BackText: 注文しませんでした <br>Đã không Gọi món || BackAudio:  || Image:  || Add Reverse: 注文しませんでした <br>Đã không Gọi món || Grammar: "
,"Basic Quizlet Extended","hàng"", đặt","FrontText: ちゅうもんします || FrontAudio: [sound:naver-16522565-caf3e1df-64fa547d-134dd058-dd2fc284.mp3] || BackText: 注文します <br>Gọi món || BackAudio:  || Image: <img src=""paste-44784af6cbb468418643971326c0f83fa311e39e.jpg""> || Add Reverse: 注文します <br>Gọi món || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định::QK","FrontText: （みせが）ありませんでした || FrontAudio: [sound:naver-96931499-28b7b048-8b62e43f-b9ddd568-d110eba9.mp3] || BackText: （店が）ありませんでした <br>Đã không Có (nhà hàng) || BackAudio:  || Image:  || Add Reverse: （店が）ありませんでした <br>Đã không Có (nhà hàng) || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định","FrontText: すわりません || FrontAudio: [sound:naver-8204ee38-f5d576d8-d255f566-7f3cb37f-0d484ad3.mp3] || BackText: 座りません Không Ngồi || BackAudio:  || Image:  || Add Reverse: 座りません Không Ngồi || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định","FrontText: たのしみません || FrontAudio: [sound:naver-6fe684bc-39a9a14b-4ed7155d-73068c97-263db301.mp3] || BackText: 楽しみません <br>Không Thưởng thức || BackAudio:  || Image:  || Add Reverse: 楽しみません <br>Không Thưởng thức || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định::QK","FrontText: たのしみませんでした || FrontAudio: [sound:naver-23ffdca0-0db6faad-473890d3-286090c8-45569787.mp3] || BackText: 楽しみませんでした <br>Đã không Thưởng thức || BackAudio:  || Image:  || Add Reverse: 楽しみませんでした <br>Đã không Thưởng thức || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ","FrontText: （みせに）はいります || FrontAudio: [sound:naver-04c70031-1a1e66cb-796c7047-64441600-bb600fd8.mp3] || BackText: （店に）入ります <br>Vào trong (cửa hàng) || BackAudio:  || Image:  || Add Reverse: （店に）入ります <br>Vào trong (cửa hàng) || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::QK","FrontText: はなしました || FrontAudio: [sound:naver-fa793c60-ebced3e0-ddcf30bc-27e787fb-09422f2f.mp3] || BackText: 話しました <br>Đã Nói chuyện || BackAudio:  || Image:  || Add Reverse: 話しました <br>Đã Nói chuyện || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ","FrontText: はなします || FrontAudio: [sound:naver-3d144770-de8f5f6d-9bc43d06-2132edeb-db540a06.mp3] || BackText: 話します Nói chuyện || BackAudio:  || Image: <img alt=""Định nghĩa và ý nghĩa của &quot;Talk&quot; trong tiếng Anh | Từ điển hình ảnh"" src=""paste.jpg""> || Add Reverse: 話します Nói chuyện || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::QK","FrontText: たのしみました || FrontAudio: [sound:naver-c77c80f9-566d494c-a329e7b3-77dd4821-3ffb49db.mp3] || BackText: 楽しみました<br>&nbsp;Đã Thưởng thức || BackAudio:  || Image:  || Add Reverse: 楽しみました <br>Đã Thưởng thức || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định","FrontText: （みせが）ありません || FrontAudio: [sound:naver-699897d0-22cf115d-0a3cfca8-ccfa7e5e-43132afe.mp3] || BackText: （店が）ありません<br>&nbsp;Không Có (nhà hàng) || BackAudio:  || Image:  || Add Reverse: （店が）ありません <br>Không Có (nhà hàng) || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::QK","FrontText: すわりました || FrontAudio: [sound:naver-9355deb6-b8b3fb6e-3cbfc163-4d110367-896c9deb.mp3] || BackText: 座りました <br>Đã Ngồi || BackAudio:  || Image:  || Add Reverse: 座りました <br>Đã Ngồi || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định::QK","FrontText: すわりませんでした || FrontAudio: [sound:naver-44fd7f84-f7b3c293-f5115356-fbfcd948-08a8ba99.mp3] || BackText: 座りませんでした <br>Đã không Ngồi || BackAudio:  || Image:  || Add Reverse: 座りませんでした <br>Đã không Ngồi || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định::QK","FrontText: はなしませんでした || FrontAudio: [sound:naver-1d02bda9-a644b867-db3334ec-52563916-3d13328b.mp3] || BackText: 話しませんでした <br>Đã không Nói chuyện || BackAudio:  || Image:  || Add Reverse: 話しませんでした<br>Đã không Nói chuyện || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: その～ || FrontAudio: [sound:naver-5a6dc146-91181aa5-fc211c1f-1a572c00-efec077b.mp3] || BackText: <br>đó～&nbsp; || BackAudio:  || Image: <img alt=""Ai Đó Ở Đâu Đó | SOMEBODY SOMEWHERE Tập 1-6 |VieON"" src=""file-1689664478788.jpg""> || Add Reverse: <br>đó～&nbsp; || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: パスタ || FrontAudio: [sound:naver-1770852f-b9a20617-fef175b4-4d041161-acffcfa9.mp3] || BackText: <br>Mì Ý || BackAudio:  || Image: <img alt=""Types Of Pasta"" src=""OIP.QZ3vNBb7cOgHFmDASjKUQwHaE8""> || Add Reverse: <br>Mỳ Ý || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: やきそば || FrontAudio: [sound:naver-8f3c26ec-32497cf5-8f7ee4a2-47a26ac6-879d4460.mp3] || BackText: 焼きそば<br>mì xào (Món Yakisoba) || BackAudio:  || Image: <img src=""yakisoba-stirfried-noodles-seasoned-sweet-260nw-2610221741.jpg""> || Add Reverse: 焼きそば<br>Món Yakisoba (mì xào) || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: さいご || FrontAudio: [sound:naver-9c55a839-647b2b24-e62cfb91-531d5197-7797be72.mp3] || BackText: 最後<br>Cuối cùng || BackAudio:  || Image: <img src=""hand-placing-final-wooden-block-260nw-2423394329.jpg""> || Add Reverse: 最後<br>Cuối cùng || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: イタリアン || FrontAudio: [sound:naver-d12d2979-5f2a6d66-4913d4ba-b9973ef3-116202f4.mp3] || BackText: <br>Món Ý || BackAudio:  || Image: <img alt=""Image result for italy food"" src=""OIP.5osk6pwyVQ8ufUCT8mBu8QHaE8""> || Add Reverse: <br>Món Ý || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: ソース || FrontAudio: [sound:naver-ee1a0cc3-adcbe9e4-e7f41977-36635aa8-e9817a32.mp3] || BackText: <br>Nước sốt || BackAudio:  || Image: <img src=""assorted-sauces-ramekin-top-view-260nw-2693547763.jpg""> || Add Reverse: <br>Nước sốt || Grammar: Hiện tại phủ định: <strong>ではありません / じゃないです<br></strong>Quá khứ khẳng định: <strong>でした<br></strong>Quá khứ phủ định: <strong>ではありませんでした / じゃなかったです</strong>"
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: おく || FrontAudio: [sound:naver-5ca0cd21-2635e6ea-9c1d23b3-d28af8d7-a23419e2.mp3] || BackText: 奥<br>phía trong, phía trong cùng || BackAudio:  || Image: <img alt=""Ghim của Ngoc Huyen trên ideas | Restaurant interior design, Modern ..."" src=""b11d01755d9c1f6ee13d05c1a5e1b01b.jpg""> || Add Reverse: 奥<br>Góc || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: ちかく || FrontAudio: [sound:naver-f9cca127-a7886600-757144e4-64f5b5ab-ba08248d.mp3] || BackText: 近く<br>Gần || BackAudio:  || Image: <img alt=""Vietnam - Sports, Recreation, Culture | Britannica"" src=""R.72aaa49abd12e1931826f48ac75d8f64""> || Add Reverse: 近く<br>Gần || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: やきとり || FrontAudio: [sound:naver-ccf7ce72-355b9cc6-cab093a2-9b31a872-26486e8d.mp3] || BackText: 焼肉<br>món gà nướng(món Yakitori&nbsp;) || BackAudio:  || Image: <img src=""a0248_food-600x400.jpg""> || Add Reverse: 焼肉<br>Yakitori (món gà nướng) || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: じょうずな || FrontAudio: [sound:naver-3bcd415f-804d1bf6-92596136-78672925-f72b5fc3.mp3] || BackText: 上手な<br>Giỏi || BackAudio: nix::u5::Tính từ || Image: <img alt=""20+ Social Enterprises in Vietnam — A Responsible Travel Guide"" src=""OIP.a-kQeCW76N2Px2sbmypdtAHaE8""> || Add Reverse: 上手な<br>Giỏi || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: すてきな（店） || FrontAudio: [sound:naver-9060c1c2-86f9ad44-34fe68da-5fca1c4e-991b8ab1.mp3] || BackText: 素敵な<br>Dễ thương, đẹp || BackAudio:  || Image: <img alt=""11 Best and Most Beautiful Places to Visit in Vietnam | TAD"" src=""Ban-Gioc-Detian-Waterfalls-Vietnam-1.jpg""> || Add Reverse: 素敵な<br>Dễ thương || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: しんせつ でした || FrontAudio: [sound:naver-7cd4fb23-4132b81e-eac333ed-25610750-27db902a.mp3] || BackText: 親切 でした<br>Đã từng Thân thiện,<br>đã từng tốt bụng || BackAudio:  tốt bụng || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: よくなかったです<br>, よくありませんでした<br> || FrontAudio: [sound:naver-7c8448fd-b57193ad-87b4da50-a2669769-d07808ef.mp3] || BackText: Đã từng không Tốt || BackAudio:  || Image:  || Add Reverse: Đã từng không Tốt || Grammar: Phủ định quá khứ い：<br>1. Chuyển い -&gt; よ<br>2. Bỏ い<br>3. Thêm phủ định<br>くな/ くありません<br>4. Thêm QK<br>くな -&gt; かったです/<br>くありません -&gt; でした "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: へたな || FrontAudio: [sound:naver-2a3b20fd-1577611b-29d20cc8-b6530d57-4f02c0ff.mp3] || BackText: 下手な<br>Không giỏi, tệ, dở || BackAudio: nix::u5::Tính từ || Image: <img alt=""Tôi không giỏi cái này… 👉 Đây là câu nói quen thuộc mỗi khi chúng ta gặp  thử thách trong công việc. 🔑 Nhưng thay vì tự giới hạn bản thân, bạn"" src=""images-94424c09bd4276eff069657f5f3fd005f86964fc.jpg""> || Add Reverse: 下手な<br>Không giỏi, tệ, dở || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: くろい || FrontAudio: [sound:naver-c76fc539-f86d6cfc-8b3b642f-597de4f6-92a09d5c.mp3] || BackText: 黒い<br>Màu đen || BackAudio: nix::u5::Tính từ || Image: <img alt=""Ý nghĩa màu đen là gì trong thiết kế, phong thủy và cuộc sống?"" src=""y-nghia-mau-den-trong-thoi-trang-kien-truc-nghe-thuat-1-1024x768.jpg""> || Add Reverse: 黒い<br>Màu đen || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: ちいさい || FrontAudio: [sound:naver-fcf29927-e085677d-4e9c46c6-85e39b84-7c57546b.mp3] || BackText: 小さい<br>Nhỏ || BackAudio: nix::u5::Tính từ || Image: <img alt=""Poster Little Vietnam girl with a vietnamese traditional costume ..."" src=""1000_F_544261382_wJzchTdsgGGus0FuhF1B0UkQBvSvtgp4.jpg""> || Add Reverse: 小さい<br>Nhỏ || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: やすい || FrontAudio: [sound:naver-72ffdb51-e59804a3-a29d950c-0f1eb31e-cf6437d4.mp3] || BackText: 安い<br>Rẻ || BackAudio: nix::u5::Tính từ || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: いろいろ でした || FrontAudio: [sound:naver-6946c22d-954d7828-df6d9111-290f96db-e3c7c0a3.mp3] || BackText: 色々 でした<br>Đã từng Nhiều,<br>đã từng đa dạng || BackAudio:  || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: たのしい || FrontAudio: [sound:naver-8d565c57-2c58ff97-1f83a294-ea6146e9-3ecfc417.mp3] || BackText: 楽しい<br>Vui || BackAudio: nix::u5::Tính từ || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: ふるい || FrontAudio: [sound:naver-8405493c-f98d9ca4-4f8e5532-1717a599-39841420.mp3] || BackText: 古い<br>củ || BackAudio: nix::u5::Tính từ || Image: <img alt=""Restaurant with an old facade, in Hoi An, Vietnam Stock Photo - Alamy"" src=""restaurant-with-an-old-facade-in-hoi-an-vietnam-2W98PXW.jpg""> || Add Reverse: 古い<br>Cũ || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: じょうず じゃありませんでした、<br>じょうず ではありませんでした || FrontAudio: [sound:naver-762fd5f9-8a8ab33e-e8261745-f33781a2-1086be81.mp3] || BackText: 上手 じゃありませんでした<br>上手 ではありませんでした<br>Đã từng không Giỏi || BackAudio: nix::u5::Tính từ::Phủ định::QK || Image:  || Add Reverse:  || Grammar: Phủ định quá khứ な：1. Bỏ な 2. Thêm phủ định 3. Thêm QK"
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: いろいろな || FrontAudio: [sound:naver-37d5eaf0-02413435-2c5c6d91-aba418e9-992e9eb8.mp3] || BackText: 色々な<br>Nhiều, đa dạng || BackAudio: nix::u5::Tính từ || Image: <img alt=""21 Photos Reveal the Beauty of Vietnam's Ethnic Minorities - 360nomad"" src=""21-Photos-Vietnam-Ethnic-Groups-1.jpg""> || Add Reverse: 色々な<br>Nhiều, đa dạng || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: しんせつな || FrontAudio: [sound:naver-33bd0858-29282667-11cb9f05-5844c1f7-b6e9dd41.mp3] || BackText: 親切な<br>Thân thiện, tốt bụng || BackAudio: nix::u5::Tính từ || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: しんせつな（ひと） || FrontAudio: [sound:naver-b1ed78c2-1f3e04b1-c609eafa-1ac0c626-38a810d3.mp3] || BackText: 親切な（人）<br>Thân thiện, tốt bụng || BackAudio:  || Image: <img alt=""‘Tet of Kindness’ spreads Vietnamese humanitarian tradition"" src=""ts131_DEKH.jpg""> || Add Reverse: 親切な<br>Thân thiện, tốt bụng || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: へた じゃありませんでした、<br>へた ではありませんでした || FrontAudio: [sound:naver-71f97081-6aa2df7b-3873dbde-58e91687-3ee88257.mp3] || BackText: 下手 じゃありませんでした<br>下手 ではありませんでした<br>Đã từng không tệ, dở || BackAudio: nix::u5::Tính từ::Phủ định::QK || Image:  || Add Reverse:  || Grammar: Phủ định quá khứ な：1. Bỏ な 2. Thêm phủ định 3. Thêm QK"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: しんせつ じゃありませんでした、<br>しんせつ ではありませんでした || FrontAudio: [sound:naver-2c60885a-a7237f40-418573ec-283a0edc-a203157e.mp3] || BackText: 親切 じゃありませんでした<br>親切 ではありませんでした<br>Đã từng không Thân thiện, tốt bụng || BackAudio: nix::u5::Tính từ::Phủ định::QK || Image:  || Add Reverse:  || Grammar: Phủ định quá khứ な：1. Bỏ な 2. Thêm phủ định 3. Thêm QK"
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: (店) やすい&nbsp; || FrontAudio: [sound:naver-da220850-ae14ef46-ba4e8608-1c8dd1dc-3a6f3259.mp3] || BackText: 安い<br>Rẻ || BackAudio:  || Image: <img alt=""Good &amp; inexpensive Vietnamese restaurant near Châu Thị Vĩnh Tế Street ..."" src=""caption.jpg""> || Add Reverse: 安い<br>Rẻ || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: すてき じゃありませんでした、<br>すてき ではありませんでした || FrontAudio: [sound:naver-990b0b57-dfa6f6ec-ef01f3da-d64757ce-024801f2.mp3] || BackText: 素敵 じゃありませんでした<br>素敵 ではありませんでした<br>Đã từng không Dễ thương || BackAudio: nix::u5::Tính từ::Phủ định::QK || Image:  || Add Reverse:  || Grammar: Phủ định quá khứ な：1. Bỏ な 2. Thêm phủ định 3. Thêm QK"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: いろいろ じゃありませんでした、<br>いろいろ ではありませんでした || FrontAudio: [sound:naver-45b1714e-4067eabb-b06e7f06-c949f183-98cf53c5.mp3] || BackText: 色々 じゃありませんでした<br>色々 ではありませんでした<br>Đã từng không Nhiều,&nbsp; <br>đã từng không đa dạng || BackAudio:  || Image:  || Add Reverse:  || Grammar: Phủ định quá khứ な：1. Bỏ な 2. Thêm phủ định 3. Thêm QK"
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: すてきな || FrontAudio: [sound:naver-8e0afead-c97fdf2d-cc89049c-bdc6cb8c-6ca36fe7.mp3] || BackText: 素敵な<br>Dễ thương || BackAudio: nix::u5::Tính từ || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: よかったです || FrontAudio: [sound:naver-18ef0d04-930831ba-6a1809f6-0ced5d02-1c3f621a.mp3] || BackText: <br>Đã từng Tốt || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ い: 1. Chuyển い -&gt; よ 2. Bỏ い 3. Thêm かったです"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: くろ くなかったです。<br>くろ くありませんでした。 || FrontAudio: [sound:naver-43db9062-b90a61c0-3dbaf6da-5507c5f8-daa7fb97.mp3] || BackText: 黒 くなかったです <br>黒 くありませんでした <br>Đã từng không Màu đen || BackAudio: nix::u5::Tính từ::Phủ định::QK || Image:  || Add Reverse: 黒 くなかったです <br>黒 くありませんでした <br>Đã từng không Màu đen || Grammar: Phủ định quá khứ い：<br>1. Bỏ い<br>2. Thêm phủ định<br>くな/ くありません<br>3 Thêm QK<br>くな -&gt; かったです/<br>くありません -&gt; でした <br><br>"
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: いい || FrontAudio: [sound:naver-898fbe5d-bf980060-d5b96836-0c8ef743-2dcefe9f.mp3] || BackText: <br>Tốt || BackAudio: nix::u5::Tính từ || Image: <img alt=""Order OKAY Vietnamese - Perth, WA Menu Delivery [Menu &amp; Prices] | Perth ..."" src=""3c36b784-758d-4303-a9c8-97efea17daf6.png""> || Add Reverse: <br>Tốt || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: へた でした || FrontAudio: [sound:naver-acde825e-2d5c2a0a-f09c5d04-dff46633-2d0262a9.mp3] || BackText: 下手 でした<br>Đã từng dở, <br>đã từng tệ || BackAudio:  || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ","FrontText: たのしい（じかん） || FrontAudio: [sound:naver-3a47c71d-ef7ea7ed-720a3353-76705d2a-feccc91a.mp3] || BackText: 楽しい（じかん）<br>Vui, hạnh phúc || BackAudio:  || Image: <img alt=""Happy family enjoying a sunny day outdoors with vibrant flowers and ..."" src=""happy-family-enjoying-a-sunny-day-outdoors-with-vibrant-flowers-and-smiles-celebrating-togetherness-and-joy-in-natu.jpg""> || Add Reverse: 楽しい<br>Vui || Grammar: "
,"Basic Quizlet Extended","nix::u5::Phó, từ","FrontText: さいしょに || FrontAudio: [sound:naver-d266a4d1-59df174f-1431be31-ef0ec807-c16b0a9e.mp3] || BackText: 最初に<br>Đầu tiên || BackAudio:  || Image: <img alt=""The First Vietnamese in America - JSTOR Daily"" src=""OIP.4VARpHpJ3XAZwZotTQ9j0AHaE8""> || Add Reverse: 最初に<br>Đầu tiên || Grammar: kể lại một chuỗi hành động theo thứ tự thời gian"
,"Basic Quizlet Extended","nix::u5::Phó, từ","FrontText: ほんとうに || FrontAudio: [sound:naver-e412e5e3-7d85c58c-515d187c-fb7b730f-296d83ee.mp3] || BackText: 本当に<br>Thật || BackAudio:  || Image: <img alt=""English grammar adverbs"" src=""tenor.gif""> || Add Reverse: 本当に<br>Thật || Grammar: nhấn mạnh cảm xúc hoặc khẳng định sự thật trong câu nói."
,"Basic Quizlet Extended","nix::u5::Phó, từ","FrontText: さいごに || FrontAudio: [sound:naver-9c7ac11c-0da569e6-b39ee5a0-60e29592-3d49c4cf.mp3] || BackText: 最後に<br>Cuối cùng || BackAudio:  || Image: <img alt=""Image result for さいごに"" src=""OIP.e1G-PeBVzr0R6UCJvUie9wHaEK""> || Add Reverse: 最後に<br>Cuối cùng || Grammar: kể chuyện theo thứ tự thời gian. Sau khi đã có ""Đầu tiên"" và ""Tiếp theo"", chúng ta cần một kết thúc."
,"Basic Quizlet Extended","nix::u5::Phó, từ","FrontText: ちょっと || FrontAudio: [sound:naver-b407db71-69627bb5-50e6f03f-9ef43723-f934dd6f.mp3] || BackText: <br>Một chút || BackAudio:  || Image: <img alt=""韓国語の副詞「ちょっと」「少し」とは？【좀】意味を勉強しよう！"" src=""20220719164823-d8d0c84b56091ea704434a2c2a759a6df11685f5.jpg""> || Add Reverse: <br>Một chút || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: よっか || FrontAudio: [sound:naver-a91c9ce0-08cbf408-c7a63e99-cb4dbbda-31b9a668.mp3] || BackText: 四日<br>ngày 4 || BackAudio:  || Image: <img alt=""How to pronounce 「yokka｜よっか｜四日」 Japanese vocabulary"" src=""hq720-3c5e44f8c2f18b87812c47b5e0ced7164d36f031.jpg""> || Add Reverse: 四日<br>ngày 4 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: にじゅうよっか || FrontAudio: [sound:naver-7c396721-34d26ceb-df5b84b6-611bbba0-7044738e.mp3] || BackText: 二十四日<br>ngày 24 || BackAudio:  || Image: <img src=""number-24-260nw-258269465.jpg""> || Add Reverse: 二十四日<br>ngày 24 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: ついたち || FrontAudio: [sound:naver-8a70c709-669ec123-50a64ea3-f1358443-256c6c65.mp3] || BackText: 一日<br>ngày 1 || BackAudio:  || Image: <img alt=""絵辞典 • ついたち・一日・tsuitachi"" src=""ef633180affc48701839d105d1ae4748bb090df0.png""> || Add Reverse: 一日<br>ngày 1 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: ふつか || FrontAudio: [sound:naver-9c335d22-4d62a066-12a80dd8-4fcd10c9-c8f88929.mp3] || BackText: 二日<br>ngày 2 || BackAudio:  || Image: <img alt=""二日, ２日, ふつか, futsuka - Nihongo Master"" src=""44472.jpg""> || Add Reverse: 二日<br>ngày 2 || Grammar: "
,"Basic Quizlet Extended","nix::u9:Phó_từ","FrontText: いつか || FrontAudio: [sound:naver-82c724fc-95cb89bd-2024e5d9-71ce407c-d6144f10.mp3] || BackText: Một ngày nào đó || BackAudio:  || Image: <img alt=""Premium Photo | 5th fifth day of month 3d calendar icon"" src=""5th-fifth-day-month-3d-calendar-icon_118019-5632.jpg""> || Add Reverse: いつか || Grammar: (Phó từ)"
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: みっか || FrontAudio: [sound:naver-ff20bc19-e4a9d679-5a4ce0bf-e3bdfc9d-6696e2f4.mp3] || BackText: 三日<br>ngày 3 || BackAudio:  || Image: <img alt=""How to pronounce 「mikka｜みっか｜三日」 Japanese vocabulary"" src=""maxresdefault-c0970d3f843f56f2afb6fb880dbe951835ed9ec5.jpg""> || Add Reverse: 三日<br>ngày 3 || Grammar: "
